epoch,stats_o/mean,stats_g/std,test/mean_Q,stats_g/mean,stats_o/std,test/episode,train/episode,test/success_rate,train/success_rate
0,0.17144793272018433,0.12869895994663239,-3.3179924488067627,0.7411831021308899,0.07437221705913544,20.0,100.0,0.0,0.006666666666666667
1,0.17143099009990692,0.12264976650476456,-5.205516338348389,0.7425908446311951,0.06928723305463791,40.0,200.0,0.0,0.0033333333333333335
2,0.1710318773984909,0.12023010849952698,-7.125041961669922,0.7433454394340515,0.06850381940603256,60.0,300.0,0.0,0.0033333333333333335
3,0.1708650141954422,0.12602002918720245,-9.378996849060059,0.7432745099067688,0.07044568657875061,80.0,400.0,0.0,0.0033333333333333335
4,0.17129284143447876,0.1262018084526062,-10.873074531555176,0.7447394728660583,0.06992414593696594,100.0,500.0,0.016666666666666666,0.01
5,0.17116498947143555,0.12819191813468933,-12.65255355834961,0.7445859313011169,0.07112203538417816,120.0,600.0,0.0,0.0033333333333333335
6,0.17197869718074799,0.13285191357135773,-13.97717571258545,0.7464712262153625,0.07223883271217346,140.0,700.0,0.016666666666666666,0.013333333333333334
7,0.17207010090351105,0.1355476826429367,-14.421485900878906,0.7474014759063721,0.07367625087499619,160.0,800.0,0.03333333333333333,0.016666666666666666
8,0.17205141484737396,0.13940449059009552,-16.45013999938965,0.7474148273468018,0.07544150203466415,180.0,900.0,0.016666666666666666,0.013333333333333334
9,0.17194153368473053,0.14461396634578705,-16.458526611328125,0.7489326596260071,0.0785086527466774,200.0,1000.0,0.05000000000000001,0.01
10,0.1723363995552063,0.14853057265281677,-17.15740966796875,0.7503666281700134,0.08004602789878845,220.0,1100.0,0.0,0.023333333333333334
11,0.1726495623588562,0.15023986995220184,-17.216840744018555,0.7517805099487305,0.08124671131372452,240.0,1200.0,0.03333333333333333,0.016666666666666666
12,0.17312867939472198,0.15671749413013458,-18.768156051635742,0.7537291646003723,0.08376466482877731,260.0,1300.0,0.016666666666666666,0.016666666666666666
13,0.17340345680713654,0.1628413051366806,-17.216535568237305,0.7552257180213928,0.08651141077280045,280.0,1400.0,0.08333333333333333,0.02
14,0.17363755404949188,0.1688019037246704,-15.081582069396973,0.7569461464881897,0.08877811580896378,300.0,1500.0,0.06666666666666667,0.023333333333333334
15,0.1741161346435547,0.17437322437763214,-16.418106079101562,0.759345293045044,0.09172883629798889,320.0,1600.0,0.10000000000000002,0.06666666666666667
16,0.17476074397563934,0.17917431890964508,-13.961905479431152,0.7622523307800293,0.09493815153837204,340.0,1700.0,0.15000000000000002,0.09000000000000001
17,0.17590858042240143,0.18245232105255127,-15.044960975646973,0.766972005367279,0.0969395637512207,360.0,1800.0,0.11666666666666665,0.07333333333333333
18,0.1765630692243576,0.18361566960811615,-15.36834716796875,0.76985102891922,0.0983516201376915,380.0,1900.0,0.08333333333333333,0.06666666666666667
19,0.17708367109298706,0.18442432582378387,-14.703887939453125,0.7720952033996582,0.09917948395013809,400.0,2000.0,0.15,0.049999999999999996
20,0.17767955362796783,0.18547971546649933,-15.512490272521973,0.7749269604682922,0.09997811168432236,420.0,2100.0,0.16666666666666666,0.07333333333333335
21,0.1780903935432434,0.18567144870758057,-15.10760498046875,0.7772371768951416,0.10073861479759216,440.0,2200.0,0.11666666666666665,0.06
22,0.17855602502822876,0.18673793971538544,-13.874590873718262,0.7798309922218323,0.101548932492733,460.0,2300.0,0.21666666666666665,0.07
23,0.17907796800136566,0.1870441436767578,-14.252506256103516,0.7819121479988098,0.10221957415342331,480.0,2400.0,0.16666666666666666,0.08333333333333333
24,0.17957045137882233,0.1873110979795456,-12.34898853302002,0.7839415669441223,0.10256686061620712,500.0,2500.0,0.26666666666666666,0.10666666666666667
25,0.1798819899559021,0.1873331069946289,-13.710670471191406,0.785142719745636,0.10298752784729004,520.0,2600.0,0.2333333333333333,0.11666666666666665
26,0.18037743866443634,0.18746119737625122,-13.025177955627441,0.7868492603302002,0.10312508791685104,540.0,2700.0,0.26666666666666666,0.09333333333333334
27,0.18069390952587128,0.18747304379940033,-13.982274055480957,0.7879230976104736,0.10341160744428635,560.0,2800.0,0.26666666666666666,0.1366666666666667
28,0.18092727661132812,0.18768881261348724,-10.768874168395996,0.7889432311058044,0.1039726734161377,580.0,2900.0,0.3333333333333333,0.15
29,0.18123088777065277,0.1879558116197586,-12.863078117370605,0.7900159955024719,0.10445492714643478,600.0,3000.0,0.3,0.12666666666666668
30,0.18148760497570038,0.18781663477420807,-11.804301261901855,0.7911326885223389,0.10483294725418091,620.0,3100.0,0.2333333333333333,0.13333333333333333
31,0.18176262080669403,0.18760935962200165,-10.516775131225586,0.7922937273979187,0.10496101528406143,640.0,3200.0,0.36666666666666664,0.14
32,0.18194882571697235,0.18779908120632172,-11.697281837463379,0.7929933071136475,0.10516635328531265,660.0,3300.0,0.39999999999999997,0.16
33,0.1821456402540207,0.18780924379825592,-12.938519477844238,0.7938430905342102,0.10556458681821823,680.0,3400.0,0.3833333333333333,0.1366666666666667
34,0.18231165409088135,0.18737684190273285,-12.463971138000488,0.7944146990776062,0.1057061180472374,700.0,3500.0,0.31666666666666665,0.15000000000000002
35,0.18252432346343994,0.18701164424419403,-13.579930305480957,0.795261800289154,0.10587266087532043,720.0,3600.0,0.35000000000000003,0.12333333333333334
36,0.18267972767353058,0.1864294856786728,-12.27890396118164,0.7960707545280457,0.10581181198358536,740.0,3700.0,0.3833333333333333,0.13
37,0.18276603519916534,0.18637816607952118,-12.37912368774414,0.796544075012207,0.10614112764596939,760.0,3800.0,0.4000000000000001,0.13333333333333333
